size,performance,bm
4500,0.113136321,HDB
450,0.068848554,HDB
45,0.014009670,HDB
4041.91617,0.112244940,HDB
3609.625668,0.111150208,HDB
3154.205607,0.109773861,HDB
2700,0.107990940,HDB
1800,0.102181706,HDB
2250,0.105589747,HDB
1350,0.096965551,HDB
900,0.087982837,HDB
4500,0.002344448,HIFB
450,0.001244969,HIFB
45,0.000252249,HIFB
4041.91617,0.001638071,HIFB
3609.625668,0.001847580,HIFB
3154.205607,0.001745113,HIFB
2700,0.001502792,HIFB
1800,0.001936674,HIFB
2250,0.000936456,HIFB
1350,0.002521697,HIFB
900,0.001488660,HIFB
4500,0.00,HRB
450,0.00,HRB
45,0.00,HRB
4041.91617,0.00,HRB
3609.625668,0.00,HRB
3154.205607,0.00,HRB
2700,0.00,HRB
1800,0.00,HRB
2250,0.00,HRB
1350,0.00,HRB
900,0.00,HRB
