size,performance,bm
5000,0.04,HDB
500,0.01,HDB
50,0.00,HDB
4499.9991,0.03,HDB
4000,0.02,HDB
3499.995333,0.02,HDB
3000,0.02,HDB
2000,0.02,HDB
2500,0.01,HDB
1500,0.02,HDB
1000,0.01,HDB
5000,0.03,HIFB
500,0.00,HIFB
50,0.00,HIFB
4499.9991,0.02,HIFB
4000,0.01,HIFB
3499.995333,0.01,HIFB
3000,0.01,HIFB
2000,0.01,HIFB
2500,0.01,HIFB
1500,0.01,HIFB
1000,0.01,HIFB
5000,0.01,HRB
500,0.00,HRB
50,0.00,HRB
4499.9991,-0.01,HRB
4000,0.00,HRB
3499.995333,0.00,HRB
3000,0.00,HRB
2000,0.00,HRB
2500,0.00,HRB
1500,0.00,HRB
1000,0.00,HRB
